Next Week,Weekday,Item Name,Forecast,Forecast Lower,Forecast Upper
2025-03-24,Monday,Serrano Ham & Pesto Focaccia,2.0,0.0,4.0
2025-03-25,Tuesday,Serrano Ham & Pesto Focaccia,2.0,1.0,4.0
2025-03-26,Wednesday,Serrano Ham & Pesto Focaccia,3.0,1.0,4.0
2025-03-27,Thursday,Serrano Ham & Pesto Focaccia,3.0,1.0,4.0
2025-03-21,Friday,Spinach Croissant,4.0,2.0,5.0
2025-03-22,Saturday,Spinach Croissant,4.0,3.0,5.0
2025-03-23,Sunday,Spinach Croissant,5.0,3.0,6.0
2025-03-24,Monday,Spinach Croissant,5.0,3.0,6.0
2025-03-25,Tuesday,Spinach Croissant,1.0,-0.0,3.0
2025-03-26,Wednesday,Spinach Croissant,2.0,0.0,3.0
2025-03-27,Thursday,Spinach Croissant,1.0,0.0,3.0
2025-03-21,Friday,Tuna Focaccia,4.0,3.0,6.0
2025-03-22,Saturday,Tuna Focaccia,5.0,3.0,6.0
2025-03-23,Sunday,Tuna Focaccia,4.0,2.0,5.0
2025-03-24,Monday,Tuna Focaccia,3.0,1.0,5.0
2025-03-25,Tuesday,Tuna Focaccia,3.0,2.0,5.0
2025-03-26,Wednesday,Tuna Focaccia,3.0,2.0,5.0
2025-03-27,Thursday,Tuna Focaccia,3.0,2.0,5.0
